label,text
positive,Pastikan pengundian dila­kukan berdasarkan manifesto fal­safah dan ideologi parti yang mendominasi sesuatu gabu­ngan
negative,"Kalau kita nak tunggu sehingga ilmu itu diterjemahkan kepada bahasa kita, tak mungkin semua ilmu diterjemahkan dan mungkin terjemahan itu tidak sebaik seperti bahasa asalnya"
positive,Keutamaan ketika ini adalah bekerja untuk Barisan Nasional (BN).
positive,perkara yang penting adalah memilih seorang pemimpin yang mampu memberikan perkhidmatan trbaik untuk rakyatnya.
positive,pihak lawannya mempunyai  jentera pilihan raya yang kuat sekali gus memaksa  pihaknya bekerja lebih keras untuk memenangi hati pengundi pada pilihan raya umum kali ini.
positive,Sebenarnya kita sudah ada satu pelan pembangunan induk untuk Wang Kelian
positive,"Maksimumkan pergerakan dan kalau sebelum ini kita buat program seminggu sekali, tapi sekarang kena berubah, buat program setiap hari bersama rakyat"
negative,Pilihan raya yang bebas dan adil adalah penting dalam memastikan hak asasi manusia. Mengadakan pilihan raya yang bebas dan adil bermakna hak asasi manusia masih subur dan keperluan rakyat mendapat pertimbangan
positive,Maka oleh sebab itu Mapim melihat perlunya satu gerakan bersepadu melibatkan NGO di seluruh peringkat rantau Asean digembleng dalam mencari penyelesaian terhadap perkara ini
positive,"Oleh itu, keperluan untuk rakan kongsi strategik asing menjadi lebih jelas jika Proton ingin memulihkan kedudukan sebagai peneraju pasaran automotif Malaysia"
positive,"Perdana Menteri tidak seharusnya memegang jawatan sebagai menteri kewangan,"
positive,Saya telah buat yang terbaik untuk penduduk Teluk Intan selepas  kemenangan pada PRK lalu dan saya yakin rakyat akan membuat penilaian mereka pada PRU nanti
positive,"Kalau hendak lawan propaganda Israel, kita harus bersatu"
negative,tindakan itu merupakan sebahagian daripada percubaan yang gagal untuk menggulingkan kerajaan
negative,sendiri gagal menghadiri sesi ceramah dan penjelasan yang diadakan walaupun dibuat secara terbuka untuk sesiapa sahaja yang mahu menyertainya.
negative,"Salah satu faktor sekolah ditutup adalah kerana sistem pengurusan lemah dan kekurangan penajaan,"
positive,Kadar faedah yang ditawarkan haruslah sangat kompetitif
positive,"Kami bersedia untuk berkongsi pengalaman dan pengetahuan dalam pembangunan ekonomi dan sosial dengan negara membangun lain, seperti melalui rangka Program Kerjasama Teknikal Malaysia (MTCP), yang telah menunjukkan kesediaan Malaysia berkongsi pengalaman pembangunannya dengan negara-negara Selatan-Selatan ."
positive,Bersatulah kalau nak maju
positive,Malaysia dengan tegas percaya bahawa Pertubuhan Bangsa Bersatu (PBB) memainkan penting sebagai platform bagi kerjasama antarabangsa berdasarkan prinsip saling menghormati dan undang-undang antarabangsa
positive,"Kita menetapkan setiap peluang pekerjaan yang ditawarkan haruslah minimum RM1,500 sebulan"
positive,Kita bersyukur apabila hasrat untuk melihat pendidikan agama terus berkembang di kawasan ini akan tercapai apabila mendapat maklumat bahawa peruntukan sudah diluluskan
negative,Jadi bebanan ini terpaksa dipikul pula oleh rakyat
positive,"Oleh itu, prestasi signifikan ini sebahagian besar disebabkan oleh komitmen yang kuat oleh ahli fakulti UTM untuk memberi sokongan terbaik dalam memudahkan pengalaman pembelajaran pelajar sambil memanfaatkan bakat yang berpotensi di kalangan pelajar untuk berusaha ke arah mencapai kecemerlangan"
negative,Ini semua muslihat dan pendekatan preemtif gabungan itu untuk mengelirukan para pengundi semua kaum akan hilang kuasa.
positive,Kerajaan mempunyai rangka tindakan yang kukuh untuk membangunkan negara di bawah kepimpinan perdana menteri dan rakyat perlu menolak pembangkang yang terus bermain politik retorik dan kebencian berbanding BN yang mengamalkan politik membina
positive,"“Alhamdulillah selesai kerja dan tanggungjawab saya kepada rakyat, khususnya pengguna yang melalui jalan itu,"
positive,Ia sama sekali tidak bercanggah dengan mana-mana undang-undang persekutuan atau negeri kerana Jakim bukan badan penguatkuasaan undang-undang Islam
positive,"sedia perkongsi tentang apa saja yang membuat beliau terus cergas, dengan menegaskan pentingnya mengamalkan gaya hidup aktif sekalipun selepas masuk usia persaraan."
positive,Inilah nilai bahasa Inggeris dan kita tak akan hilang bahasa kita seperti orang Jerman
positive,"Oleh sebab ini jelas merupakan dokumen dipalsukan, KWSP membuat laporan polis pada 28 Oktober 2015"
positive,pembangkang pun akan dilindungi daripada menjadi mangsa berita palsu
positive,majoriti mereka yang berada dalam arena politik kini sudah celik media sosial dan lebih menarik setiap perincian kehidupan mereka kini boleh dilayari di alam maya
positive,Punca masalah pada kita sendiri
positive,"pemerhati asing yang terlibat akan melihat bagaimana rakyat dapat terus menunjukkan dengan jelas komitmen mereka terhadap demokrasi, dan rakyat dapat membuat pilihan atas kehendak mereka sendiri."
negative,"Ia merupakan suatu kezaliman terhadap anak, isteri dan keluarga Mazlan."
negative,pada hakikatnya dalam sistem ekonomi sebenar mata wang yang kukuh boleh memberi kesan ketara kepada ekonomi dalam jangka panjang apabila keseluruhan industri menjadi tidak kompetitif tidak mampu bersaing dan beribu-ribu orang tiba-tiba kehilangan pekerjaan
negative,"Golongan ini adalah di kalangan mereka yang mampu untuk membayar hutang perumahan, namun secara tidak langsung situasi ini juga menyebabkan harga rumah meningkat"
positive,"Syarikat konsesi yang dilantik kerajaan memberikan kerja penyenggaraan kepada kontraktor kecil yang layak, sama ada melalui undian atau sebut harga,"
positive,Kita tahu kebanyakan sekolah perlu diselenggarakan daripada semasa ke semasa
negative,percaya calon pembangkang itu masih mempunyai banyak taktik yang akan digunakan.
negative,“Ini sangat memalukan dan menunjukkan kegagalan Jakoa mewakili sebahagian besar masyarakat Orang Asli.
positive,"Jadi tidak dinafikan Mahathir masih mempunyai hubungan peribadi yang rapat dan kuat dengan penduduk di Kedah, terutama di Kubang Pasu, apatah lagi di Langkawi,"
positive,sewaktu tun dr mahathir mohamad memperkenalkan wawasan pada tahun ekonomi kita sedang berkembang rancak sehingga ada kalanya melepasi peratus setahun
positive,"Proses berkenaan, perlu dilaksanakan secara berperingkat dan teratur bagi memastikan perkhidmatan terbaik sentiasa dapat disampaikan kepada rakyat"
positive,Mahathir bukan benar-benar memperjuangkan usaha 'menyelamatkan negara'
negative,"Harapan gagal menangani rasuah, kepimpinan buruk dan ketidakupayaan untuk memeriksa sendiri"
negative,Tetapi JASA memanipulasikannya untuk menyerang HARAPAN
positive,Kita akan menjadikan negara ini lebih mesra perniagaan dan pada masa sama meningkatkan ketelusan dan kecekapan
negative,"Bagi saya, musuh utama dalam politik bila kita terlalu yakin yang boleh menyebabkan kita malas untuk bekerja."
positive,wakil rakyat mudah didampingi dan membawa manfaat kepada masyarakat keseluruhannya
negative,rata-rata kenaikan kos sara hidup pada tahun ini disebabkan oleh pengenalan sistem cukai barangan dan perkhidmatan gst dan juga pelbagai peningkatan perbelanjaan yang lain seperti kenaikan tol baru-baru ini
positive,"Saya amat pasti dan menggunakan pertimbangan sewajarnya ketika menulis kenyataan tersebut,"
positive,Saya menasihatkan jika ada peresapan air maka laluannya perlu diubah
positive,Siasatan telah dijalankan dan tindakan sewajarnya akan diambil oleh pihak MADACorp setelah mengenal pasti punca sebenar berlakunya pertumbuhan padi angin tersebut
negative,"Mungkin ketika Mukhriz terus menafikan tugas saya untuknya dan menafikan manfaat yang diperolehnya daripada nasihat yang saya berikan daripada Cambridge Analytica dan SCL Group bagi Kedah semasa PRU13, adakah beliau juga akan menafikan kemenangan dengan menawan Kedah dan  menjadi Menteri Besar?"
positive,"Semakin tinggi jumlah pengundi yang melaksanakan tanggungjawab, semakin jelas sokongan terhadap barisan pemimpin yang dipilih."
negative,"Saya tahu Najib dari Pekan, orang tempatan, tetapi jika dia lakukan kesalahan dia harus ditolak."
negative,Kalam ingin mengupas tentang sikap sesetengah daripada orang kita yang terlalu taksub de­ngan parti yang disokong sehingga ke peringkat sanggup bermusuh-musuhan.
positive,Ini perlu diubah di mana pusat jagaan ini perlu diintegrasi bersama pusat jagaan kanak-kanak dan pusat aktiviti komuniti supaya adanya komunikasi dengan pelbagai lapisan
positive,Kita mendahulukan pusat Tahfiz yang tidak berdaftar kerana pusat Tahfiz berkenaan kebanyakannya tidak mengikut piawaian yang ditetapkan berbanding pusat Tahfiz yang telah berdaftar
positive,"Saman sahaja pihak yang tuduh Presiden Bersatu, Tan Sri Muhyiddin Yassin ada skandal dengan isteri orang"
positive,"Jadi jika mahu bermacam-macam bantuan, kenalah kekalkan sokongan kepada kerajaan hari ini"
negative,Tidak jadi. 
positive,Saya perlu menjaga kebajikan anda.
positive,justeru institut penyelidikan ekonomi malaysia mier bersama cmi dan kumpulan utusan serta majlis perundingan melayu mpm ingin meneruskan diskusi dan polemik isu ini supaya aspek pertumbuhan dan pengagihan atau economic growth with distribution tetap kekal dan relevan serta diberi tempat yang wajar dalam proses penggubalan dasar awam negara
positive,Kita (kerajaan Barisan Nasional) memiliki dasar-dasar yang stabil dan konsisten dan ini sudah pasti akan diteruskan jika kerajaan sama dapat terus memerintah
negative,kejatuhan harga minyak mentah ketidakpercayaan terhadap kerajaan akibat skandal mdb dan hutang negara yang melambung menyebabkan nilai ringgit jatuh
positive,Bukankah ini memberikan kesan lebih positif dalam membina masa depan kita?”
positive,namun kini berlaku tiga penjuru yang menjadikan persaingan lebih terbuka
negative,penganiayaan juga sudah menjadi satu masalah biasa bagi pengguna media sosial khususnya melibatkan tokoh masyarakat
positive,"Dikatakan Islamik kerana beliau sedia mengetepikan perbezaan politik dengan PAS demi kepentingan Islam, dan menjalin hubungan baik dengan kerajaan PAS Kelantan demi kesejahteraan orang Melayu Islam di negeri itu"
positive,"Saya sarankan kerajaan negeri melantik lebih ramai duta pelancongan dalam kalangan ahli korporat, selebriti dan artis untuk dijadikan ikon"
positive,"Saya mungkin akan sambung ijazah undang-undang, dan sudah tentu saya akan cuba kuruskan badan."
positive,tinggal bersama kami dan dia menceriakan suasana rumah. Kami semua bergilir menjaganya dan adakala keluarga Farrah akan datang menjenguknya di rumah kami
negative,polis Macau tidak secara terbuka mendedahkan maklumat masuk dan keluar individu
positive,Tolong jangan libatkan saya dengan politik
positive,paip ini tahan lebih lama dan tidak mudah rosak jika dijaga dengan elok
positive,"Kami yang uruskan FELDA, kami tahu dan sedar jika dalam keadaan kita telus dan ikut urus tadbir yang baik, kronisme tidak akan wujud"
positive,kita bekerja keras dengan mendekati rakyat demi meraih undi dalam usaha menawan Kelantan
positive,Kita harus kembali ke papan lukisan untuk mengkaji dan melihat sistem yang lebih baik menguruskan kebajikan mereka di sini
positive,"Melalui cara ini, ia akan memberi kesedaran kepada pembeli betapa bahayanya beg plastik yang menjadi penyebab pencemaran alam sekitar."
positive,"Saya lihat sekarang cara DAP urus Pulau Pinang banyak kebaikan, orang Melayu sendiri iktiraf, jadi perkara itu tak timbul dah"
negative,MAIPs mengecam aktiviti Perlis Hope membantu golongan miskin
positive,"Dulu untuk seorang pesakit kita menanggung kos hingga RM50,000 untuk 12 kali rawatan seorang, tetapi dengan ubat ini, kita berupaya mengurangkan hingga RM1,000 saja untuk seorang pesakit"
negative,tsunami fitnah dan kebencian juga akhirnya akan kecundang
positive,"Program sedia ada akan kami teruskan melalui peruntukan kerajaan tetapi pada masa sama di bawah komersial atau pihak pemberi perkhidmatan, mereka harus memperluaskan rangkaian atau capaian Internet kerana hasrat pihak kerajaan adalah untuk merapatkan jurang digital"
positive,"Justeru, kita harap sesi kali ini akan menyaksikan ahli menyuarakan usul berkaitan pembangunan negara, seterusnya menjadi pemangkin kepada usaha kerajaan bagi melahirkan bangsa yang maju selari dengan Transformasi Nasional 2050 (TN50)"
positive,Produk koperasi dapat menarik perhatian pengguna berikutan jenama perniagaan yang digunakan bagi semua keluaran produknya
negative,"Satu sebab ialah pelaku percaya kanak-kanak bebas daripada penyakit jangkitan kelamin, terutamanya HIV dan AIDS."
positive,"Jadi, saya tidak perlu susahkan sesiapa"
negative,"Dalam keadaan terdesak ini, mungkin kerajaan akan jual (aset itu) kepada mana-mana pihak sebab nak dapatkan duit"
positive,Sejumlah RM2 juta pula diperuntukkan bagi program pembangunan produk dan sumber manusia daripada enam komuniti setempat di sekitar kawasan ini
negative,Tetapi kami mendapati ia telah membawa kepada satu budaya yang tidak jurus kepada pembangunan murid
negative,Perkara ini yang menyebabkan pengadu tampil mempersoalkan kepada kepada UTK dan mohon cara baik mengembalikan wangnya tetapi tidak dapat.
positive,Bila dah selesai nanti kita umumkan
positive,"Hari ini jelas bahawa pemimpin MCA peringkat negeri dan semua bahagian bersama ahli jawatankuasa telah datang beramai-ramai,"
negative,"Adalah tidak benar dakwaan yang disebarkan secara meluas dalam media sosial, yang turut disertakan dengan foto yang menunjukkan seolah-olah saya terkedu di sisi beliau, bahawa saya kononnya terus terkucil ketakutan sebaik sahaja Tun Dr Mahathir sampai ke majlis wacana itu"
positive,Namun pendirian MCA tegas iaitu terus mempertahankan keharmonian negara dan kepentingan masyarakat Cina
positive,"Ini semua membebankan rakyat, oleh itu kerajaan membincangkan semula konsesi-konsesi yang ditandatangani"
positive,kestabilan ekonomi adalah asas kestabilan sosial dan politik sesebuah negara dan kestabilan ekonomi tidak mungkin tercapai jika isu agihan ekonomi dan pendapatan sangat tidak saksama
negative,"Jika usaha untuk mencegah jenayah dianggap sebagai jenayah, maka negara itu dipimpin oleh penjenayah"
negative,Tapi sekarang kita kena beli ubat kerana hospital kata ubat habis.
positive,apa cerita mengenai langkah kerajaan untuk tangani isu kenaikan harga minyak mungkin diketahui selepas mesyuarat majlis ekonomi negara esok isnin yang dipengerusikan oleh datuk seri najib tun razak
negative,Kita terpaksa guna duit pelanggan sebab duit sudah habis bayar faedah tidak masuk akal kepada Proton
positive,Seminar dan forum itu adalah khusus untuk memberi fokus kepada kanak-kanak agar  menjauhi diri mereka dan menutup peluang kepada penjenayah untuk melakukan jenayah
negative,menteri kabinet beliau sendiri bercakap mengenai pembinaan hospital kerajaan sakit bekalan ubat di hospital kerajaan yang sering terputus dan pesakit yang dulu mampu berubat di klinik dan hospital swasta kini berpusu-pusu ke klinik dan hospital awam
positive,"Menerusi Jentera BN dan Pusat Daerah Mengundi (PDM) cawangan diwujudkan, pelbagai gerak kerja dirancang dan dilaksanakan."
positive,Saya berharap permohonan ini dapat dipertimbangkan oleh KKM kerana Hospital Bentong adalah sebuah hospital berpakar
positive,"Ini kita telah buktikan...bila ada kuasa undang-undang yang boleh dikenakan kepada mana-mana individu yang kemungkinan besar lakukan jenayah seperti keganasan, maka, tindakan itu sangat berkesan."
positive,Adalah menjadi harapan saya agar program agama di TV dan radio mempunyai penasihat yang tidak berasaskan komersial dan doktrin doa sebagai jalan ke syurga semata-mata.
positive,Dong Zong sentiasa mengharapkan kerajaan agar dapat membina sekolah rendah Cina dengan lebih bersistematik
negative,bagi sesetengah orang kejatuhan nilai mata wang domestik dianggap satu malapetaka
negative,isu pengagihan menjadi mencabar selepas negara menghadapi krisis kaum pada justeru dasar ekonomi baru deb dirancang dengan teliti bagi membantu usaha mengatasi isu kemiskinan dan perbezaan ekonomi di negara ini dalam memantapkan perpaduan negara ketika itu
positive,Pihak kami akan menaja pendidikan mereka sehingga peringkat tertinggi
negative,"Jangan jadi bacul dan penakut untuk buat fitnah menggunakan Whatsapp,"
positive,Inkues yang dicadangkan itu selaras dengan keprihatinan yang orang ramai tunjukkan terhadap kes ini
negative,Penggiat seni seperti kami susah nak cari makan dan hidup di Malaysia
positive,Hanya pemimpin Sarawak boleh menentukan masa depan Sarawak.
positive,Kita harap bukti forensik dapat menyekat pemilik akaun dari memberi alasan akaunnya telah digodam atau apa saja alasan untuk melepas tengkuknya
positive,"Kita tak mahu ada yang salah guna bantuan diberi, kerana peruntukan untuk jayakan program- program ini merupakan satu amanah bagi Yayasan Sejahtera yang diberi kepercayaan dan dana oleh Yayasan Hasanah untuk menggerakkan aktiviti- aktiviti ini"
negative,Tidak ramai yang ada sifat-sifat seumpama itu walaupun ramai yang mendakwa memilikinya
positive,"Bila Pas buat cadangan itu juga boleh nampak kekuatannya kerana dengan ada sumpah baiah (talak tiga) pun masih ada orang keluar, bila gugur ini boleh lihat keikhlasan ahli untuk bersamanya"
positive,Koperasi Orang Asli yang ada sekarang kebanyakannya tumpu sektor perladangan dan tidak kepada sektor pelancongan yang mampu beri keuntungan besar dengan modal sedikit
positive,"memberikan perspektif terbaik berkaitan isu 1MDB termasuk menjawab segala persoalan ketika sesi penerangan di seluruh negara, mendapat pujian ramai. "
negative,Pertumbuhan sekolah-sekolah tahfiz ini berlaku dengan liar kerana kerajaan Barisan Nasional yang lalu membiarkannya kerana takut kehilangan pengaruh keharmonian politik tanpa melihat bahayanya.
positive,Impak kepada isi rumah sangat luas berbanding  dengan berbelanja RM250 beli tiket wayang atau berbelanja di kedai untuk keperluan diri
positive,"Kertas siasatan sudah dibuka jadi kalau hormat perlembagaan undang-undang Malaysia, sila serah diri segera"
positive,Pihak Mahasiswa Pakatan Harapan menggesa Ali Hamsa selaku ketua setiausaha negara menarik balik pelan eksperimen PTD beliau yang tidak masuk akal ini dan memohon maaf kepada kesemua golongan graduan negara yang didiskriminasi beliau baru-baru ini.
negative,Keputusan PAS untuk bertanding di Permatang Pauh amatlah dikesali
positive,"Jika kita bayar cukai, semestinya ingin melihat ia dibelanjakan untuk sesuatu yang perlu"
negative,"Belum kira ahli Pas keluar, ada juga ambil pendirian bertawakuf iaitu tak setuju tapi diam dan tidak pedulikan program, kategori ni ramai dalam Pas "
positive,Ia tidak  harus menjadi  kebanggaan malah perlu dijauhi bagi memastikan kanak-kanak  dilindungi dan dijauhi daripada perbuatan yang membahayakan
positive,Kementerian amat berbesar hati dengan kesungguhan mereka yang terlibat dalam memastikan hak-hak pekerja tidak didiskriminasikan seperti yang termaktub dalam Perlembagaan
positive,"SPR mesti memastikan perbincangan dan arahan yang betul dijalankan oleh kedutaan dan konsulat, kerana tanpa perkara itu pengundi akan berada dalam kekeliruan"
positive,Saya gembira melihat (semakin) banyak negara-negara EU akhirnya bangkit menyuarakan bantahan terhadap langkah diskriminasi membabitkan minyak sawit
negative,"Sungguhpun peratusan kecil, apabila ini berlaku boleh menjejaskan imej polis kerana tanggungjawab polis adalah membantu orang ramai bila mereka ada masalah tentang jenayah"
positive,Perkara itu bagi memastikan tiga pimpinan PH ini berada di kerusi pimpinan utama negeri
positive,"Saya bersyukur kerana di bawah pemerintahan Tengku Razaleigh, banyak kemudahan yang diperolehi."
positive,Kita tidak mampu untuk bergerak sendirian kerana kita memerlukan sokongan masyarakat setempat bagi memastikan isu seperti ini dapat ditangani
negative,Ramai staf kami yang telah menamatkan perkhidmatan tahun lalu dan ini menyebabkan penerima APC dari KEMAS berkurangan
positive,"Selain kemudahan ini, kami juga tidak lupa jasa kerajaan negeri yang berusaha mendapatkan geran hak milik kepada peneroka."
negative,membayar harga yang mahal apabila gagal mewujudkan istilah
negative,"Kau nak tahu dua tiga hari lagi kamu tengok, celaka sungguh binatang ni"
positive,Malah walaupun Amanah diberi kerusi yang sikit tapi kita akur sebab kita tahu kekuatan kita di Pantai Timur berbanding di Pantai Barat
negative,SPR meminta orang ramai tidak membuat sebarang spekulasi memandangkan kes berkenaan masih dalam siasatan polis.
negative,ia boleh mengancam keselamatan negara
positive,Menyediakan beg sekolah kepada pelajar bertujuan meringankan beban ibu bapa
positive,"Kalau dulu masa mula-mula masuk Felda, kami diberi RM200 sebulan untuk pinjaman pendahuluan sara hidup sementara peneroka nak tunggu hasil."
positive,Semasa melawat ke kilang itu hujung bulan lepas saya telah memberi amaran kepada kilang berkenaan untuk mengambil langkah segera dengan membaiki sistem rawatan terhadap najis ayam jika mahu terus beroperasi
negative,"Kita boleh berbeza dalam politik, tetapi jangan halang pemimpin masyarakat (untuk menganjurkan majlis seumpama itu)"
negative,"Kita tak lihat ia adalah satu sumbangan jitu untuk bangunkan Pulau Langkawi memandangkan semasa zaman pemerintahan Tun Mahathir, lebih banyak idea-idea bernas oleh beliau untuk majukan penduduk di sini tanpa perbelanjaan yang tinggi,"
negative,membidas tindakan sesetengah pihak yang mendakwa beliau berpolitik di dalam masjid sehingga isu itu tular menerusi media sosial semalam.
positive,"Malahan, saya dimaklumkan CMA ini adalah satu kaedah penurapan jalan baharu yang boleh mengurangkan keretakan, aluran selain kos penyelenggaraan yang menjimatkan untuk jangka masa panjang"
positive,Jangan kita arahkan (tuding jari) kesalahan kepada pihak lain
positive,"cinta bukan saja boleh dizahirkan kepada insan lain, malah dalam pelbagai aspek kehidupan."
negative,kebimbangan terhadap berita palsu mungkin menjelaskan kenapa peratus daripada responden menyatakan mereka hanya membaca tajuk utama dalam media sosial tetapi tidak membuka laporan penuh malah semakin menyokong media tradisional
positive,"Dengan penambahan operator penerbangan, dapat memberi pilihan tambahan kepada rakyat untuk meneruskan aktiviti perhubungan perniagaan, urusan kerajaan, pendidikan dan pelancongan di Labuan"
negative,Tiada siapa yang dapat melakukannya sendiri.
positive,"JPN akan melakukan tindakan adil untuk anak-anak yang dimangsakan supaya atas nama kemanusiaan dan perundangan, mereka layak untuk mendapat pendidikan di sekolah serta diberikan dokumen yang sah"
negative,Berita tersebut adalah palsu yang sengaja diada-adakan dalam usaha untuk menggambarkan bahawa sistem demokrasi di negara kita tidak telus dan tidak
positive,Sudah balik mahu datang semula ke Malaysia
positive,Kita pun sudah anjurkan kursus asas pelancongan kepada belia-belia di sini.
positive,"Di pihak kerajaan negeri, kita akan minta semua sumber untuk bantu bangunkan Sabah supaya anak-anak kita boleh berkembang maju"
negative,"Malah, tekanan ke atas tentera dan Kaunselor Myanmar, Aung San Suu Kyi juga perlu diteruskan dan di perhebatkan bagi membela nasib masyarakat Islam yang ditindas di sana"
positive,"Walaupun pembangkang menjelaskan isu itu sejak bertahun lamanya, baru kini ia mula terkesan kerana Pakatan Harapan sekarang bersama Dr Mahathir dan Muhyiddin."
negative,jika benar terorisme adalah masalahnya pihak tentera myanmar sepatutnya menerangkan bagaimana pembunuhan kanak-kanak wanita dirogol dan mereka diseksa serta memaksa keluarga keluar dari rumah serta rumah dan kampung halaman mereka dibakar akan menjadi myanmar selamat
positive,"Oleh itu, slogan 'Ini Kalilah' pada PRU lalu tidak membawa banyak kesan dan perubahan kepada pengundi Melayu,"
negative,"Kami hormat speaker, tapi secara jujurnya percaya bahawa beliau ditekan hebat oleh  kerajaan BN yang ingin menutup perkara ini. "
positive,"Memang 1MDB telah mewujudkan satu krisis dan suasana kewangan agak menggerunkan Malaysia, tapi kalau isu hutang-hutang ini dapat diselesaikan, pastinya ia akan mengubah imej dan kedudukan kewangan negara"
positive,Apabila kami masuk PPBM baru kami tahu betul
positive,Adik saya Nor Hafizal dan Amri tidak pernah beritahu dia kahwin muta’ah selepas jumpah mufti
positive,"Kami menjual syarikat pajakan kami pagi ini dan wang yang diterima akan meningkatkan ringgit, jadi ia akan mencerminkan dengan lebih baik lagi kekuatan sebenar dan daya tahan ekonomi Malaysia"
negative,Meminta bantuan Polis Diraja Malaysia (PDRM) untuk memberhentikan ucapan/ ceramah/ syarahan oleh calon/ejen pilihan raya atau parti politik yang tidak mendapat permit daripada pihak Ketua Polis Daerah
negative,"Kita bimbang ada orang ambil kesempatan nak menggugat kestabilan Malaysia kerana negara ini merangkumi masyarakat majmuk, justeru setiap percakapan perlu berjaga-jaga dan sensitif"
negative,"Masalahnya kalau dia dah tahu ada perjumpaah (WUF) ini, mengapa suruh saya datang hari ini?"
positive,Ia memenuhi keperluan kumpulan sasaran dalam julat premium super.
positive,"Sebelum ini, ketika kita semua boleh berbahasa Inggeris, walaupun tidak begitu bagus, mereka selalu memanggil kami, bukan orang Indonesia, juga bukan orang Filipina yang berbahasa Inggeris sepanjang masa"
negative,Kekayaan negara dirompak dan rakyat terpaksa menanggung beban
positive,Saya percaya perbuatan jijik dan tidak bertanggungjawab Namewee in tidak mendapat sokongan rakyat berbilang kaum dan agama di negara ini
positive,Saya berdoa dewan ini akan lebih dimuliakan dalam masa-masa akan datang
negative,Kita pulangkan paku buah keras kenapa wujud layanan berbeza dalam isu pertubuhan politik antara Umno dan Bersatu
negative,Pusat pengundian selalunya di sekolah dan balai raya yang tidak mempunyai kemudahan untuk golongan OKU ini membataskan pergerakan mereka yang berkerusi roda dan bertongkat untuk menuju ke saluran pengundian.
positive,"Kami berharap mereka sedar, tidak memilih sama sahaja seperti tidak mahu mengambil bahagian dalam membentuk masa hadapan mereka."
positive,"Isu bandar merupakan isu penting untuk kehidupan warganya dan satu-satunya cara untuk mengetahui isu itu sama ada baik atau buruk, positif atau negatif adalah  menerusi wartawan kerana mereka boleh menjadi alat komunikasi dan penghantar mesej"
negative,beliau menjelaskan perkara tersebut tidak perlu diulas panjang memandangkan ia merupakan privasi semua pihak.
positive,Itulah sebabnya saya mengambil kira kempen Blue Ribbon ini sebagai satu daripada petunjuk prestasi utama (KPI) saya sebagai Menteri Kesihatan mulai tahun ini iaitu melalui peningkatan bilangan premis yang disijilkan secara sukarela sebagai bebas asap rokok secara lebih meluas
negative,"Kalangan ibu bapa yang telah berjaya dalam hidup menghantar anak mereka ke sekolah tahfiz dengan kepercayaan mempunyai anak huffaz akan membantu membasuh dosa mereka dan jika mati, mayat tidak akan hancur."
positive,Amanah tidak bermasalah dengan Pas sebaliknya dengan hati terbuka telah mengajak parti Islam tersebut untuk bersama dengan Pakatan Harapan (Harapan) menyelamatkan negara
negative,tidak mudah terpengaruh dengan kempen atau ceramah menerusi Facebook Live yang dibeli jumlah penontonnya.
positive,Kami dapat sahkan bahawa kedua-dua pihak sudah perolehi keputusan secara baik dan sulit
positive,Kami yakin pencarian akan dapat menemukan pesawat hilang itu
positive,"Australia mempunyai kepakaran bertaraf dunia untuk dikongsi  dalam bidang seperti infrastruktur hijau, tenaga boleh diperbaharui dan analisis data."
positive,Tapi satu benda cukup penting bagi pembangkang adakah kita ada masa lagi untuk melihat kelemahan dan kekurangan kita hari ini
positive,"menang kes saman ke atas Daily Mirror, sebuah akhbar tempatan di London berhubung kes laporan palsu"
positive,semoga forum memperingati faaland dapat menghidupkan semula dialog berkaitan tajuk ini yang pada satu masa dahulu adalah satu igauan benar seorang ahli ekonomi dari norway yang menurut sahabatnya dr
positive,Saya juga pernah memberi kredit dan pujian terhadap pentadbiran Kerajaan negeri yang diterajui beliau di mana menunjukkan kecemerlangan yang baik sekali dalam urus tadbir
negative,tetapi kita tidak memerlukan pembohongan selanjutnya oleh pihak-pihak tidak bertanggungjawab
negative,penyelesaianasean belum lagi memantapkan pendirian dan nilai bersama dalam persekitaran globilisasi dan perubahan lanskap politik dunia
negative,"Jadi, jika kerajaan acuh tak acuh dalam menangani perkara ini bermakna menyokong tindakan hotel"
negative,Menteri kewangan dan perdana menteri memilih untuk mempersendakan prestasi ekonominya selama tiga bulan lalu sedangkan sepatutnya beliau harus menilai dirinya selama tempoh lima tahun
positive,Saya amat gembira melihat projek ini berjalan lancar. 
positive,Dan beliau juga adalah antara pemimpin yang banyak menggalakkan kita menceburi bidang keusahawanan
negative,penjawat awam di seluruh negara diingatkan supaya tidak melakukan sebarang perkara yang melanggar peraturan
negative,pihaknya turut kesal apabila penduduk terdiri dari warga emas yang tidak menerima bil air bakal berdepan tindakan pemotongan bekalan air.
positive,Ia merupakan satu keghairahan buat diri saya.
positive,Portal ini menghimpunkan maklumat yang telah ditentukan kesahihannya oleh saluran rasmi atau agensi kerajaan yang berkenaan secara setempat
negative,"Pilihan raya ini kelihatan lebih kepada survivalnya, bukan kepentingan parti atau negara."
negative,Semua anggota keluarga masih terkejut dan trauma dengan pemergian
negative,menafikan perkara tersebut dan memberi jaminan bahawa tidak akan membiarkan jari palsu digunakan pihak tertentu bagi tujuan penipuan dalam pilihan raya umum akan datang.
positive,"Walaupun sudah bersara pada tahun 2014 lalu, saya tetap meneruskan perjuangan untuk menjaga keselamatan, khususnya di Tanjung Labian"
